cast,number_of_title,vote_average
Alice Krige,1,7.3
Alice Olivia Clarke,1,5.7
Alice Taglioni,1,6.4
Alicia Keys,1,6.3
Alicia Vikander,7,5.3571428571428585
Alicja Bachleda-CuruÅ›,2,5.25
Alinne Moraes,1,6.2
Alisha Naragsheth,1,6.4
Alisha Newton,1,5.5
Alison Barry,1,6.0
Alison Becker,1,5.0
Alison Brie,5,6.2
Alison Doody,1,7.1
Alison Haislip,1,5.7
Alison Lohman,1,5.1
Alison Pill,2,4.4
Alistair McGowan,1,7.0
Alistair Petrie,1,6.1
Allan Hawco,1,4.1
Allen Evangelista,2,6.35
Allen Iverson,1,5.2
Allen Joseph,1,5.2
Allen Leech,1,5.8
Allen Williamson,1,6.6
Allie MacDonald,1,6.7
Allison Janney,4,6.525
Allison McAtee,1,4.0
Allison Miller,2,5.75
Allison Tolman,1,5.1
Ally Sheedy,2,5.25
Alphonso McAuley,1,5.9
Aly Michalka,1,7.0
Alycia Debnam-Carey,2,5.25
Alycia Delmore,1,5.1
Alysa King,1,5.9
Alysia Reiner,2,6.2
Alyson Bath,1,7.0
Alyson Stoner,2,6.550000000000001
Alyssa Diaz,1,6.5
Alyssa Milano,2,6.05
Alyvia Alyn Lind,2,7.85
Ama K. Abebrese,1,5.3
Amancaya Aguilar,1,6.8
Amanda Adrienne,1,6.1
Amanda Anka,1,5.3
Amanda Bauer,1,5.1
Amanda Bynes,1,7.1
Amanda Crew,3,5.266666666666667
Amanda Douge,1,6.1
Amanda Fuller,2,6.699999999999999
Amanda Lund,1,6.3
Amanda Peet,4,5.7
Amanda Righetti,1,5.9
Amanda Schull,1,5.3
Amanda Seyfried,10,5.779999999999999
Amanda Tapping,2,6.75
Amanda Walsh,1,5.9
Amaury Nolasco,3,5.766666666666667
Amber Heard,9,6.2
Amber Marie Bollinger,1,6.3
Amber McDonald,1,5.1
Amber Rose Revah,1,6.6
Amber Tamblyn,3,6.166666666666667
Amber Valletta,2,5.4
Amberley Gridley,1,5.8
Ambyr Childers,1,7.8
Amee Hinkley,1,4.4
Amelle Chahbi,1,4.9
America Ferrera,4,6.6
America Olivo,1,6.0
Amidou,1,5.4
Amila Terzimehic,1,7.6
Amin Joseph,2,5.699999999999999
Amina Annabi,1,5.2
Amir ,1,6.0
Amir Hasan,1,5.2
Amir K,1,5.1
Amira Casar,2,6.85
Amit Shah,1,6.6
Amitabh Bachchan,1,7.1
Aml Ameen,3,7.266666666666667
Amr Waked,1,6.2
Amy Acker,1,5.6
Amy Adams,6,6.116666666666666
Amy Ferguson,2,5.9
Amy Grant,1,7.2
Amy Hargreaves,2,6.6
Amy Irving,1,6.2
Amy Madigan,1,6.2
Amy Matysio,1,4.7
Amy Pietz,2,6.4
Amy Poehler,5,5.06
Amy Ryan,6,5.416666666666667
Amy S. Weber,1,5.3
Amy Schumer,2,6.1
Amy Seimetz,1,6.8
Amy Smart,5,5.220000000000001
Amy Winehouse,1,3.8
Ana Coto,1,6.3
Ana Golja,1,5.9
Ana Malagon,1,3.6
Ana Mulvoy Ten,1,5.5
Ana de Armas,1,4.8
Anais Bordier,1,6.0
Analeigh Tipton,3,5.7
Anamaria Marinca,3,6.266666666666667
AnaÃ¯s Demoustier,1,7.9
Anders Holm,2,6.65
Anderson Silva,1,6.0
Andie MacDowell,2,6.4
Andre Braugher,1,7.2
Andre Royo,1,7.3
Andrea Brooks,1,6.4
Andrea Libman,1,6.5
Andrea Navedo,1,6.4
Andrea Pisani,1,5.7
Andrea Riseborough,3,7.033333333333334
Andrea Roth,2,5.699999999999999
Andrea Russett,1,7.1
Andrea Whitburn,1,6.8
Andreas Cahling,1,6.5
Andreas Leupold,1,6.6
Andrei Arlovski,1,8.0
Andrei Dementiev,1,4.9
Andrew Astor,1,7.0
Andrew Buckley,1,6.0
Andrew Cheney,1,4.1
Andrew Divoff,1,6.0
Andrew Dunbar,1,8.1
Andrew Garfield,5,5.720000000000001
Andrew Grainger,1,5.5
Andrew Howard,1,5.8
Andrew J. West,1,4.7
Andrew Jarecki,1,6.4
Andrew Leung,1,6.8
Andrew Lincoln,1,6.9
Andrew McCarthy,1,5.7
Andrew Polk,1,6.3
Andrew Ryan,1,4.5
Andrew Scott,3,5.966666666666666
Andrew Sensenig,1,6.3
Andrew Simpson,1,5.5
Andrew-Lee Potts,1,6.6
Andrey Ivchenko,1,5.6
AndrÃ¡s SÃ¼tÃ¶,1,4.3
AndrÃ© Bauma,1,6.5
AndrÃ© De Shields,1,5.3
AndrÃ© Dussollier,1,5.2
AndrÃ© Holland,1,6.9
AndrÃ© Wilms,1,6.5
AndrÃ©s Velencoso,1,5.9
Andy Bichlbaum,1,6.4
Andy Buckley,1,5.7
Andy GarcÃ­a,3,6.466666666666666
Andy Lau,1,6.0
Andy McAvin,1,7.5
Andy Nyman,1,5.5
Andy On,1,6.0
Andy Ostroy,1,6.2
Andy Richter,1,5.5
Andy Samberg,2,6.050000000000001
Andy Serkis,3,5.533333333333334
Andy Whitfield,1,4.4
Anessa Ramsey,1,5.0
Angela Bassett,3,6.666666666666667
Angela DiMarco,1,7.1
Angela Kinsey,1,5.4
Angela Wesselman-Pierce,1,6.3
Angelica Boccella,1,6.1
Angelica Chitwood,1,5.6
Angelina Jolie,5,6.36
Angeline Appel,1,4.9
Angie Everhart,1,7.5
Angourie Rice,1,5.4
Angus Sampson,3,6.3
Anh Duong,1,6.8
Anika Noni Rose,1,7.5
Anita Briem,1,5.2
Anja Savcic,1,4.9
Anjelica Huston,1,6.3
Ann Dowd,3,5.433333333333334
Ann Emery,1,4.0
Ann Marie Horan,1,6.5
Anna Burnett,1,6.0
Anna Camp,1,6.0
Anna Chlumsky,3,5.633333333333333
Anna Cummer,1,4.8
Anna Faris,4,5.85
Anna Friel,3,6.133333333333333
Anna Harr,1,6.9
Anna Hutchison,1,6.7
Anna Kendrick,10,5.87
Anna Lise Phillips,1,6.4
Anna Lore,1,5.9
