cast,number_of_title,vote_average
CCH Pounder,1,5.2
Cai Lu,1,6.9
Caitlin Carmichael,1,5.6
Caitlin E.J. Meyer,1,5.2
Caitlin Fitzgerald,1,4.1
Caitlin Keats,1,6.0
Caitlin Nicol-Thomas,1,6.6
Caitlin Stasey,2,5.85
Caitlyn Folley,1,6.3
Caity Lotz,2,5.3
Cal Bartlett,1,6.0
Caleb Landry Jones,4,5.85
Calin Stanciu,1,5.2
Callan McAuliffe,3,5.5
Callan Mulvey,2,4.9
Callum Blue,1,7.2
Callum Keith Rennie,4,6.1
Callum Turner,1,5.6
Calum MacNab,1,5.6
Calum Worthy,1,6.1
Calvin Dean,1,6.9
Cam Gigandet,9,6.01111111111111
Cameron Bright,2,6.45
Cameron Clarke,1,6.5
Cameron Dallas,1,6.5
Cameron Diaz,8,6.2875000000000005
Cameron Goodman,1,5.2
Cameron Mills,1,5.8
Cameron Monaghan,3,5.7
Cameron Rhodes,1,5.9
Camilla Belle,2,5.75
Camilla HammarstrÃ¶m,1,6.2
Camilla Luddington,1,5.9
Camille Balsamo,1,5.6
Camille Sullivan,1,5.1
Camryn Manheim,1,5.7
Candace Cameron Bure,1,6.7
Candice Bergen,1,6.2
Caon Mortenson,1,7.1
Cara Buono,1,5.8
Cara Delevingne,3,5.733333333333333
Cara Seymour,1,6.1
Cara Theobold,1,6.5
Caren Pistorius,1,6.1
Carey Mulligan,6,6.616666666666667
Carice van Houten,2,5.9
Carl Anthony Payne II,1,6.7
Carl Apfel,1,4.9
Carl Beukes,1,5.6
Carl Reiner,1,6.7
Carl Sagan,1,6.5
Carla Gallo,1,6.2
Carla Gugino,7,6.228571428571429
Carlito Olivero,1,5.8
Carlo Buccirosso,1,6.5
Carlo Rota,1,7.3
Carlo Verdone,1,6.4
Carlos Alazraqui,1,7.0
Carlos Bardem,1,5.5
Carlos Bernard,1,5.2
Carlos Boettcher,1,6.0
Carlos Mencia,1,5.7
Carlos PenaVega,1,6.9
Carlos Pratts,1,3.3
Carlson Young,1,6.9
Carly Fogelson,1,8.3
Carly Schroeder,1,4.7
Carmelo Anthony,1,5.3
Carmen Ejogo,4,5.775
Carmen Electra,1,5.8
Caro Lenssen,1,4.4
Carol Burnett,1,6.9
Carol Kane,2,6.5
Carole Bouquet,1,7.0
Carolina Guerra,1,4.7
Carolina GÃ³mez,1,5.7
Caroline Boulton,1,6.4
Caroline Chikezie,1,6.5
Caroline Clements,1,5.7
Caroline Dhavernas,1,6.0
Caroline Goodall,1,4.7
Caroline Munro,1,6.5
Caroline Palmer,1,6.5
Caroline Sunshine,1,5.5
Carolyn Hennesy,1,3.5
Carolyn Lawrence,1,7.9
Carrie Coon,1,4.9
Carrie Fisher,2,6.65
Carrie Preston,1,4.8
Carrie-Anne Moss,4,6.025
Carter Jenkins,3,5.533333333333334
Cary Elwes,4,6.0
Cary Woodworth,1,6.6
Cary-Hiroyuki Tagawa,6,5.95
Casey Affleck,3,6.8
Casey B. Dolan,1,6.9
Casey Stoner,1,5.1
Casper Van Dien,3,5.533333333333334
Cassandra Peterson,1,4.3
Cassidy Freeman,1,5.9
Cassidy Gifford,2,6.199999999999999
Cassie Scerbo,1,5.7
Cat Power,1,8.1
Catalina Sandino Moreno,2,5.7
Cate Blanchett,7,6.285714285714286
Caterina Scorsone,1,6.3
Catherine Annette,1,3.5
Catherine Bell,1,4.6
Catherine Deneuve,2,5.7
Catherine Disher,1,6.7
Catherine Frot,1,6.0
Catherine Keener,8,5.650000000000001
Catherine Kresge,1,6.3
Catherine O'Hara,3,6.3999999999999995
Catherine Oxenberg,1,3.7
Catherine Reitman,1,6.5
Catherine Tate,2,6.65
Catherine Zeta-Jones,1,6.3
Cathy Adamek,1,6.7
Cathy Barnett,1,5.7
Cathy Weseluck,1,5.2
Catriona MacColl,1,6.8
CauÃ£ Reymond,1,5.1
Cedric the Entertainer,1,4.9
Celina Jade,1,5.8
Cesar Garcia,1,6.4
"Chad ""Gunner"" Lail",1,7.2
Chad Addison,1,6.5
Chad Lindberg,1,5.1
Chad McKnight,1,4.6
Chad Michael Collins,1,6.6
Chad Michael Murray,2,5.7
Chad Willett,1,6.7
Chadwick Boseman,1,5.6
Chandler Canterbury,2,6.15
Chandler Riggs,1,6.1
Chandra Wilson,1,6.7
Chanel Iman,1,5.3
Chanelle Peloso,2,5.55
Channing Tatum,8,6.0125
Channon Roe,1,5.3
Charisma Carpenter,1,5.7
Charisse Baker,1,6.2
Charlene Tilton,1,5.7
Charles Bronson,1,6.8
Charles Dance,5,6.62
Charles Grodin,2,5.7
Charles Hambleton,2,5.550000000000001
Charles S. Dutton,1,4.9
Charlie Bright,1,7.2
Charlie Day,3,6.433333333333334
Charlie Gillette,1,6.9
Charlie Hunnam,1,7.4
Charlie Murphy,1,7.1
Charlie Plummer,1,6.3
Charlie Schlatter,1,6.6
Charlie Tahan,1,6.8
Charlize Theron,4,4.95
Charlotte De Bruyne,1,5.5
Charlotte Gainsbourg,4,6.7250000000000005
Charlotte Kirk,1,3.5
Charlotte Le Bon,2,5.45
Charlotte Nicdao,1,5.8
Charlotte Rampling,2,6.35
Charlotte Riley,1,6.4
Charlotte Stewart,1,4.5
Charlyne Yi,1,6.5
Chase Ryan Jeffery,1,5.9
Chase Wright Vanek,1,5.7
Cheech Marin,1,7.3
Chelah Horsdal,3,5.833333333333333
Chelan Simmons,1,6.4
Chelsea Handler,1,6.8
Chelsea Kane,1,6.9
Chelsea Peretti,1,5.5
Cheng Pei-Pei,1,5.2
Chengwu Guo,1,6.5
Cheol-hyeong Im,1,5.9
Cher,1,6.7
Cherami Leigh,1,7.7
Cheryl Hines,4,5.949999999999999
Cheryl Ladd,1,6.2
Chevy Chase,4,6.324999999999999
Chi Cao,1,6.8
Chiara D'Anna,1,6.4
Chiara Zanni,1,6.9
China Anne McClain,1,5.2
Chiwetel Ejiofor,4,7.025
Chloe Bridges,3,5.366666666666667
Chloe Rose,1,6.2
ChloÃ« Grace Moretz,10,5.380000000000001
ChloÃ« Sevigny,4,6.175000000000001
Choi Min-sik,1,5.8
Choi Seung-Hyun,1,6.3
Chris Addison,1,5.9
Chris Brown,1,6.6
Chris Browning,3,5.766666666666667
Chris Bruno,1,4.9
Chris Carey,1,6.6
Chris Carmack,3,5.566666666666666
Chris Connelly,1,7.5
Chris Cooper,2,6.0
Chris Cornell,1,6.9
Chris Coy,3,6.3
Chris D'Elia,1,4.9
Chris Diamantopoulos,2,5.800000000000001
Chris Elliott,2,5.949999999999999
Chris Ellis,2,5.75
Chris Evans,8,6.2375
Chris Farley,1,6.6
Chris Gann,1,6.7
Chris Geere,1,6.7
Chris Grahamson,1,6.0
Chris Hemsworth,7,6.457142857142857
Chris J. Johnson,1,5.7
Chris J. Murray,1,5.0
Chris Jarvis,1,6.2
Chris Kelly,1,5.8
Chris Klein,2,6.25
Chris Lazzaro,1,6.4
Chris Lowell,1,7.2
Chris Marquette,5,6.7
Chris Massoglia,3,6.3999999999999995
Chris Messina,5,5.44
Chris Miller,1,6.4
Chris Mulkey,1,5.4
Chris Noth,4,6.175000000000001
Chris O'Dowd,6,5.916666666666667
Chris Osborn,1,5.9
Chris Pine,6,5.466666666666666
Chris Pontius,2,6.85
Chris Potter,1,4.4
Chris Pratt,4,6.449999999999999
Chris Renaud,1,5.7
Chris Riedell,1,5.8
Chris Riggi,1,5.1
Chris Rock,2,5.3
Chris Salvatore,1,7.1
Chris Santos,1,6.8
Chris Sarandon,1,7.5
Chris Schellenger,1,6.4
Chris Soldevilla,1,7.1
Chris Tucker,1,5.0
Chris Walker,1,6.3
Chris Wedge,2,6.4
Chris Williams,1,6.4
Chris Wylde,1,4.1
Chris Zylka,1,4.8
Chrisann Brennan,1,5.1
Christa Nicola,1,6.2
Christian Bako,1,5.2
Christian Bale,7,6.1571428571428575
Christian Berkel,1,5.6
Christian Byers,1,6.4
Christian Campbell,1,6.5
Christian Charmetant,1,6.8
Christian Contreras,1,5.2
Christian Cooke,2,6.3
Christian Distefano,1,7.6
Christian Howard,1,3.3
Christian Madsen,1,6.8
Christian McKay,2,5.9
Christian Oliver,1,7.2
Christian Paul,1,5.6
Christian Slater,4,6.4750000000000005
Christie Lynn Smith,1,7.4
Christina Aguilera,1,6.1
Christina Applegate,4,5.9750000000000005
Christina Cha,1,6.3
Christina Chong,1,5.5
Christina Cole,1,7.9
Christina Hendricks,5,6.26
Christina Milian,1,6.8
Christina Ricci,4,5.8500000000000005
Christina Wolfe,1,4.8
Christine Forrest,1,5.1
Christine Haeberman,1,6.3
Christine Hakim,1,5.4
Christine Horne,1,6.5
Christine Taylor,1,5.7
Christine Woods,1,6.1
Christoph Luser,1,7.4
Christoph Waltz,4,6.449999999999999
Christophe Gallander,1,6.3
Christophe MaÃ©,1,4.0
Christopher Abbott,1,7.1
Christopher Bleuze-Carolan,1,5.0
Christopher Cousins,1,5.8
Christopher Davis,1,6.0
Christopher Eccleston,2,4.949999999999999
Christopher Egan,1,5.9
Christopher Ellison,1,7.0
Christopher George,1,4.9
Christopher Gorham,3,5.900000000000001
Christopher Jordan Wallace,1,6.4
Christopher Judge,2,6.0
Christopher Kirby,1,5.0
Christopher Knights,1,5.4
Christopher Lee,3,6.766666666666667
Christopher Lloyd,4,5.75
Christopher McDonald,1,4.4
Christopher Meloni,4,6.449999999999999
Christopher Mintz-Plasse,2,5.25
Christopher Morris,1,7.1
Christopher Parker,1,5.6
Christopher Plummer,9,5.622222222222223
Christopher Shand,1,4.6
Christopher Showerman,1,4.4
Christopher Soren Kelly,1,6.8
Christopher Sweeney,1,4.4
Christopher Walken,4,5.824999999999999
Christy Carlson Romano,1,7.5
Chuck Liddell,2,6.449999999999999
Chus Pereiro,1,5.2
Cian Barry,1,7.2
Ciara Bravo,1,5.9
CiarÃ¡n Hinds,4,6.3
Cillian Murphy,3,6.233333333333333
Claire Danes,1,6.3
Claire Forlani,1,6.5
Claire Foy,1,5.8
Claire Garvey,1,5.9
Claire Greasley,1,5.8
Claire Keelan,1,6.0
Claire Sloma,1,4.7
Claire van der Boom,1,6.4
Clancy Brown,4,6.575
Clara Furey,1,6.5
Clara Lago,1,6.9
Clare Bowen,1,6.3
Clare Niederpruem,1,4.5
Clark Bartram,1,3.6
Clark Duke,2,5.5
Clark Freeman,1,6.2
Clark Johnson,3,6.866666666666667
Clarke Peters,1,5.9
Claude Legault,1,5.7
Claudia Bassols,1,6.5
Claudia Karvan,2,5.75
Claudia Lee,1,5.5
Claudia Traisac,1,6.8
Claudia Troll,1,6.9
Clea DuVall,3,6.433333333333334
Cleopatra Coleman,1,5.0
Clif Prowse,1,3.3
Cliff Chamberlain,1,6.7
Cliff Curtis,2,6.2
Cliff Freeman,1,6.1
Clifford BaÃ±agale,1,6.8
"Clifton Collins, Jr.",4,5.875
Clint Black,1,6.6
Clint Eastwood,2,6.2
Clint Howard,3,5.7
Clint James,1,7.1
Clint Walker,1,4.3
Clinton Loomis,1,5.5
Clive Owen,3,5.833333333333333
Clive Revill,1,5.1
Clive Russell,1,6.7
Cloris Leachman,1,6.3
ClÃ©mence PoÃ©sy,3,5.866666666666667
ClÃ©ment MÃ©tayer,1,6.3
Cobie Smulders,3,6.1000000000000005
Coco Jack Gillies,2,4.2
Cody Cameron,1,5.7
Cody Christian,1,5.6
Cody Hackman,1,5.3
Cody Horn,1,6.5
Cody Linley,1,5.5
Cody Longo,1,6.4
Cody Saintgnue,1,5.0
Cody Wilson,1,5.7
Cohen Holloway,1,5.8
Cole Hauser,2,5.5
Cole Konis,1,6.1
Colin Egglesfield,1,5.3
Colin Farrell,10,6.200000000000001
Colin Ferguson,1,5.3
Colin Firth,7,5.8
Colin Ford,1,5.4
Colin Hanks,1,7.3
Colin McFarlane,1,6.5
Colin Morgan,1,6.3
Colin Moy,1,5.6
Colin Quinn,1,5.9
Colleen Camp,1,4.6
Colleen McGrann,1,5.7
Collette Wolfe,1,6.8
Collin Blackard,1,6.8
Collin Dean,1,6.5
Collins Pennie,1,6.1
Colm Feore,2,5.1
Colm Meaney,3,6.0
Columbus Short,4,6.5
Common,2,6.8
Con Schell,1,4.5
Conal Byrne,1,5.6
Conan O'Brien,1,4.3
Connie Britton,3,7.033333333333334
Connie Nielsen,3,6.233333333333333
Connor Corum,1,5.5
Connor Paolo,1,5.8
Conor McCarron,1,6.0
Conrad Anker,1,4.6
Conrad Vernon,2,5.550000000000001
Constance Brenneman,1,6.2
Constance DollÃ©,1,3.8
Cooper Hopkins,1,7.6
Cora Bissett,1,4.8
Corbin Bleu,1,5.2
Corey Eid,1,6.1
Corey Feldman,1,6.6
Corey Hawkins,1,6.5
Corey Johnson,3,6.666666666666667
Corey Large,1,7.5
Corey Stoll,4,5.300000000000001
Cori Gonzalez-Macuer,1,6.7
Cortney Palm,1,5.8
Cory Doctorow,1,5.8
Cory Hardrict,1,5.1
Cory Nichols,1,6.3
Costas Mandylor,3,6.1000000000000005
Courtney B. Vance,1,6.1
Courtney Gains,1,6.9
Courtney Hope,1,6.5
Courtney Love,1,6.0
Courtney Thorne-Smith,1,6.4
Cozi Zuehlsdorff,1,6.0
Craig Anton,1,7.0
Craig Berry,1,5.7
Craig Cobb,1,5.9
Craig Fairbrass,1,5.6
Craig Ferguson,2,6.45
Craig Parkinson,1,5.7
Craig Roberts,2,6.6
Craig Robinson,3,4.8999999999999995
Craig Stott,1,5.1
Craig T. Nelson,2,5.65
Crispin Glover,3,6.533333333333334
Crista Flanagan,1,5.2
Cristian Mercado,1,6.0
Cristian Valencia,1,5.9
Cristiano Ronaldo,1,5.7
Cristina Contes,1,6.5
Cristina Raines,1,7.0
Cristobal Tapia Montt,1,5.6
Crystal Allen,1,6.5
Cuba Gooding Jr.,3,6.233333333333333
Cullen Moss,1,5.9
Cung Le,2,4.65
Curd JÃ¼rgens,1,6.0
Currie Graham,1,4.4
Curtis Armstrong,1,5.4
Cybill Shepherd,2,6.1
Cyndi Mayo Davis,1,6.2
Cynthia Nixon,4,5.95
Cynthia Rothrock,1,6.5
Cyril Raffaelli,1,5.5
Cyril Roy,1,5.9
CÃ©line Sallette,1,6.9
CÃ©sar Vianco,1,5.9
D. B. Sweeney,2,5.55
D.A. Pennebaker,1,7.8
D.C. Pierson,1,5.9
DJ Qualls,2,5.6
Dabney Coleman,1,6.7
Dagmar Manzel,1,7.4
Dagmara DomiÅ„czyk,1,6.4
Daisy Betts,1,6.6
Daisy Ridley,1,6.5
Dakota Blue Richards,1,7.3
Dakota Fanning,7,5.9142857142857155
Dakota Goyo,1,5.1
Dakota Johnson,6,6.783333333333334
Dale Dickey,3,6.733333333333333
Dale Pavinkski,1,6.5
Dallas Roberts,2,6.5
Damian Lewis,1,6.3
Damian Walshe-Howling,1,6.9
Damien Garvey,1,6.4
Damion Poitier,1,5.7
Damon Gameau,1,5.3
Damon Herriman,2,6.05
Damon Wayans Jr.,3,4.933333333333334
Dan Aykroyd,4,5.925000000000001
Dan Bilzerian,1,6.2
Dan Butler,1,5.6
Dan Cade,1,6.6
Dan Creed,1,6.3
Dan Fogler,1,6.3
Dan Harmon,2,6.3
Dan Hedaya,1,5.9
Dan Kearney,2,6.85
Dan Lauria,1,6.2
Dan Payne,1,3.3
Dan Savage,1,6.2
Dan Starkey,1,7.1
Dan Stevens,4,6.9
Dana Delany,1,6.6
Dana Gaier,1,7.2
Dana Meinrath,1,6.3
Dana Melanie,2,4.95
Dana Snyder,1,3.1
Dane Cook,2,5.65
Dane DeHaan,3,5.599999999999999
Dani Pedrosa,1,5.5
Danica McKellar,3,5.766666666666667
Daniel Baldwin,1,4.8
Daniel BrÃ¼hl,4,5.5249999999999995
Daniel Carlisle,1,6.8
Daniel Craig,1,7.1
Daniel Cudmore,1,6.6
Daniel Day-Lewis,1,4.5
Daniel Domscheidt-Berg,1,5.7
Daniel Duval,1,5.4
Daniel Faraldo,1,6.5
Daniel Franzese,1,6.2
Daniel Fredrick,1,6.7
Daniel Henney,1,4.6
Daniel Henshall,2,5.550000000000001
Daniel MacPherson,1,5.1
Daniel Mays,1,6.4
Daniel Newman,1,4.2
Daniel Olbrychski,1,7.4
Daniel Radcliffe,4,6.175
Daniel Roebuck,2,5.85
Daniel Ryan,1,5.7
Daniel Skelton,1,6.6
Daniel Sunjata,1,6.0
Daniella Alonso,2,6.050000000000001
Danielle Brooks,1,5.9
Danielle Campbell,1,7.8
Danielle Chuchran,4,5.75
Danielle Dallacco,1,4.7
Danielle Harris,3,6.533333333333334
Danielle Macdonald,1,6.4
Danielle Panabaker,4,5.975
Danielle Savre,1,6.2
Danil Ishutin,1,4.2
Danila Kozlovskiy,2,5.7
Danneel Ackles,2,6.65
Danny Denzongpa,1,6.1
Danny Dyer,2,6.95
Danny Flaherty,2,6.25
Danny Glover,10,6.1899999999999995
Danny Huston,8,6.6125
Danny Jacobs,1,6.3
Danny McBride,2,5.95
Danny Midwinter,3,4.833333333333333
Danny O'Carroll,1,4.6
Danny Pino,1,6.4
Danny Pudi,1,7.1
Danny Shayler,1,6.4
Danny Trejo,10,6.36
Danny Vinson,1,5.4
Danny Webb,2,5.4
Danny Woodburn,3,6.0
Danny-Boy Hatchard,1,7.1
Dante Basco,3,5.933333333333334
Dara McGarry,1,5.2
Darcy Fowers,1,5.9
Daren Kagasoff,1,5.1
Darius Williams-Watt,1,5.0
Darla Biccum,1,5.5
Darren Criss,1,6.1
Darren Dunstan,1,5.0
Darren E. Burrows,1,5.5
Darren Evans,1,6.3
Darren Ewing,1,4.6
Darren Lynn Bousman,1,6.3
Darren Shahlavi,1,5.2
Darrin Bragg,1,5.8
Darron Meyer,1,6.0
Darshan Kumaar,1,7.3
Darwin Shaw,1,7.2
Daryl Hannah,1,4.9
Daryl Sabara,2,6.5
Dascha Polanco,1,5.8
Dave Bautista,2,6.5
Dave Chappelle,1,6.0
Dave Foley,2,7.15
Dave Franco,5,6.019999999999999
Dave Grohl,2,5.1
Dave Legeno,2,5.6
Dave Murray,1,7.0
Dave Sheridan,1,5.1
Daveigh Chase,1,5.4
David A.R. White,1,6.6
David Aaron Baker,1,5.4
David Ajala,1,6.5
David Alan Grier,1,4.2
David Anders,3,6.099999999999999
David Andrews,1,5.5
David Argue,1,7.1
David Attenborough,1,6.6
David Belle,2,5.4
David Bierend,1,4.8
David Boeri,1,5.6
David Bowe,1,6.0
David Brin,1,6.0
David Burrows,1,5.5
David Call,1,5.6
David Carradine,1,4.9
David Chisum,1,6.7
David Clayton Rogers,2,6.65
David Cross,4,6.800000000000001
David DeLuise,2,4.85
David Del Rio,1,6.1
David Denman,1,6.2
David Duchovny,1,5.8
David Elliot,1,3.4
David Ellison,1,6.1
David Field,1,6.6
David Fincher,1,5.7
David Gasman,1,6.2
David Gastou,1,4.4
David Gulpilil,1,6.5
David Harbour,2,5.4
David Henrie,4,6.575
David Hewlett,1,5.7
David Hyde Pierce,1,4.3
David Kaye,1,6.9
David Koechner,5,5.919999999999999
David Krumholtz,1,7.1
David Lee McInnis,1,6.3
David Leitch,1,7.3
David Lewis,1,7.7
David Matranga,1,5.5
David Mazouz,1,5.0
David McCallum,1,4.6
David McLean,1,4.2
David McNally,1,4.4
David Morgan,1,6.3
David Morrissey,6,6.116666666666666
David Morse,2,5.85
David Niven,1,4.8
David Oyelowo,3,5.8
David Paul Baker,1,5.4
David Paymer,1,5.4
David Proval,1,5.2
David Rasche,1,5.0
David Rawle,1,5.4
David Rintoul,1,7.1
David S. Hogan,1,7.1
David Sandberg,1,6.3
David Schaal,1,6.7
David Schallipp,1,6.2
David Schwimmer,1,5.8
David Shatraw,1,5.9
David Sibley,1,6.8
David Soren,1,6.2
David Spade,2,5.8
David Strathairn,4,5.925
David Suchet,1,7.2
David Tennant,7,6.028571428571429
David Thewlis,9,6.422222222222222
David Troughton,1,5.8
David Verdaguer,1,7.3
David Wain,1,3.8
David Warner,1,5.6
David Warshofsky,1,5.9
David Wayman,1,5.0
David Wenham,2,6.55
David Zayas,1,8.0
David Zellner,1,4.1
Dawn French,1,6.3
Dawn Olivieri,1,5.7
Dean Armstrong,1,6.4
Dean Cain,3,6.366666666666667
Dean Cameron,1,6.8
Dean Cates,1,2.1
Dean Edwards,1,6.0
Dean Geyer,2,6.45
Dean Jones,1,4.2
Dean Kirkright,1,4.8
Dean Lennox Kelly,1,6.6
Dean Norris,3,6.333333333333333
Dean Potter,1,5.6
Dean Simone,1,6.2
Dean Stockwell,3,6.133333333333333
Dean Wareham,1,7.6
Dean Winters,2,5.85
Deanna Dunagan,1,7.2
Debbie Gibson,1,6.7
Debby Ryan,1,7.0
Deborah Ann Woll,1,6.1
Deborah Findlay,1,5.2
Deborah Kara Unger,2,6.7
Deborah Mailman,2,5.95
Deborah Rush,1,5.0
Deborra-Lee Furness,2,6.85
Debra Jo Rupp,1,4.6
Debra Messing,1,5.0
Debra Winger,1,5.5
Dee Bradley Baker,3,5.233333333333333
Deepika Padukone,1,6.2
Deion Sanders,1,7.2
Deirdre Blades,1,6.8
Deirdre Kelly,1,6.2
Deja Kreutzberg,1,7.3
Dejan Angelov,1,4.6
Deka Walmsley,1,5.2
Deke Garner,1,6.0
Delaney Tabron,1,6.0
Delphine ChanÃ©ac,1,6.8
Delroy Lindo,3,6.800000000000001
Demetri Martin,1,6.6
Demi Lovato,2,4.65
Demi Moore,2,5.699999999999999
DemiÃ¡n Bichir,2,5.65
Denis Leary,2,5.7
Denis O'Hare,2,6.550000000000001
Denise Poirier,1,5.2
Denise Richards,1,6.9
Denise Williamson,1,5.0
Denise Yuen,1,7.7
Deniz Akdeniz,1,5.8
Dennis Farina,1,6.2
Dennis Haysbert,2,5.9
Dennis Hopper,1,5.3
Dennis Miller,1,6.4
Dennis Quaid,5,5.92
Denzel Washington,4,5.875
Denzel Whitaker,1,6.8
Derek Lee,1,5.5
Derek Long,1,4.2
Derek Luke,4,5.5
Derek Mears,1,6.6
Derek Richardson,1,5.5
Derek Waters,1,6.6
Dermot Mulroney,3,4.933333333333334
Dervla Kirwan,1,4.9
Desiree Akhavan,1,6.1
Desiree Hall,1,6.5
Desmond Harrington,1,6.3
Dev Patel,5,5.92
Devanny Pinn,1,6.1
Devin Druid,1,5.1
Devin Ratray,1,4.3
Devon Bostick,4,5.8
Devon Graye,2,6.4
Devon Sawa,1,5.6
Dhafir Harris,1,6.3
Dia Mirza,1,5.1
Diana Bang,1,7.8
Diana Barrows,1,4.9
Diana GarcÃ­a,1,6.7
Diana Kaarina,1,7.6
Diane Almeida,1,6.2
Diane Ayala Goldner,1,6.6
Diane Gaeta,1,7.7
Diane Guerrero,1,5.4
Diane Keaton,5,6.300000000000001
Diane Kruger,3,5.733333333333333
Diane Lane,2,7.199999999999999
Dianna Agron,1,5.4
Dianne Wiest,1,4.6
Dichen Lachman,1,2.8
Dick Cavett,2,6.85
Dick Gregory,1,5.1
Dick Miller,2,5.2
Didier Bezace,1,5.8
Didier Bourdon,1,4.6
Diedrich Bader,3,6.2
Diego Abatantuono,1,6.5
Diego Boneta,1,6.0
Diego Luna,1,6.3
Diego Maradona Jr.,1,5.9
Dieter Laser,2,5.800000000000001
Dileep Rao,1,5.9
Dillon Lane,1,7.0
Dimitri Leonidas,1,5.5
Dimple Kapadia,1,5.2
Dina Cataldi,1,6.4
Dina Korzun,1,5.8
Dina Shihabi,1,4.3
Dinesh D'Souza,1,5.4
Diogo Morgado,1,6.2
Diora Baird,3,6.233333333333333
Dirk Bogarde,1,6.5
Dirk Nowitzki,1,6.4
Djimon Hounsou,3,6.166666666666667
Dmitry Chepovetsky,1,4.2
Dolly Wells,1,4.7
Dolores Heredia,1,6.7
Dolph Lundgren,9,5.288888888888888
Domhnall Gleeson,6,6.133333333333333
Dominic Borrelli,1,6.3
Dominic Cooper,5,5.619999999999999
Dominic Dierkes,1,5.3
Dominic Keating,1,4.3
Dominic Purcell,3,5.833333333333333
Dominic Rains,2,6.1
Dominic Sandoval,1,6.1
Dominic Sherwood,1,7.7
Dominic West,4,5.550000000000001
Dominik GarcÃ­a-Lorido,2,6.15
Dominique Baffier,1,5.2
Dominique Lavanant,1,6.1
Dominique McElligott,1,5.4
Dominique Pinon,1,6.8
Dominique Swain,1,5.6
Don Bluth,1,5.8
Don Bridges,1,6.6
Don Cheadle,3,6.133333333333334
Don Johnson,3,5.400000000000001
Don Knodel,1,4.8
Don Knotts,1,5.0
Don Omar,1,5.1
Don S. Davis,1,7.3
Donal Logue,2,5.65
Donald Faison,5,6.04
Donald Glover,2,6.5
Donald Pleasence,1,5.8
Donald Sumpter,1,7.0
Donald Sutherland,4,6.45
Donna Mills,1,6.6
Donna Murphy,1,3.3
Dorian Holley,1,5.4
Dorien Makhloghi,1,6.9
Doris Dowling,1,3.7
Doris Roberts,3,5.666666666666667
Dorla Bell,1,7.5
Dorothy Silver,1,5.7
Doug Allen,2,5.3
Doug Bradley,2,6.35
Doug Erholtz,1,6.1
Doug Fahl,1,6.5
Doug Hutchison,1,7.0
Doug Jones,3,5.833333333333333
Doug McKeon,1,5.4
Doug Murray,1,6.3
Douglas Booth,3,5.133333333333334
Douglas Rankine,1,6.5
Douglas Rushkoff,1,6.6
Douglas Russell,1,5.5
Douglas Smith,2,6.25
Dougray Scott,3,6.3999999999999995
Dove Cameron,4,6.35
DragoÈ™ Bucur,1,6.7
Drena De Niro,1,7.3
Drew Barrymore,7,5.757142857142858
Drew Justice,1,6.2
Drew Monson,1,7.3
Drew Rausch,1,5.5
Drew Seeley,1,5.2
Duncan Casey,1,6.2
Duncan Fisher,1,6.3
Dusan Brown,1,4.5
Dusan Bucan,1,6.1
Dustin Hoffman,7,5.542857142857143
Dustin Milligan,1,6.1
Dustin Nguyen,1,6.3
Dustin Quick,1,7.6
Dwayne Johnson,8,6.4375
Dwayne Richard,1,5.3
Dwight Yoakam,2,6.1
Dwyane Wade,1,4.9
Dylan Baker,1,5.9
Dylan Bruce,1,5.1
Dylan Everett,1,6.2
Dylan Kenin,1,6.6
Dylan McDermott,5,5.540000000000001
Dylan Minnette,2,5.55
Dylan Moran,1,6.0
Dylan Neal,1,5.9
Dylan O'Brien,2,6.0
Dylan Postl,1,6.1
Dylan Walsh,2,5.4
Eamon Farren,1,6.1
Eamonn Walker,2,6.1
Earl Lynn Nelson,1,6.0
Ed Ackerman,1,5.6
Ed Asner,4,5.85
Ed Harris,6,5.683333333333333
Ed Helms,2,6.050000000000001
Ed Oxenbould,3,7.0
Ed Quinn,1,6.0
Ed Skrein,4,6.299999999999999
Ed Speleers,2,5.05
Ed Westwick,2,7.35
Eddie Griffin,1,3.8
Eddie Jemison,1,7.7
Eddie Marsan,5,6.140000000000001
Eddie Murphy,3,5.566666666666667
Eddie Redmayne,7,6.471428571428572
Eddie Ritchard,1,3.6
Eden Sher,1,7.5
Eden Wood,1,4.4
Edgar RamÃ­rez,4,6.4750000000000005
Edi Gathegi,2,5.0
Edie Martin,1,5.3
Edmund Donovan,1,7.0
Edmund Kingsley,1,6.1
Edo Van Breemen,1,5.7
Edoardo Ballerini,1,7.2
Eduardo VerÃ¡stegui,1,5.2
Edward Burns,1,6.2
Edward Fox,1,6.2
Edward Furlong,1,6.0
Edward James Olmos,1,6.4
Edward Norton,3,5.533333333333334
Edward Petherbridge,1,5.6
Edward Snowden,1,7.5
Edwin Hodge,1,6.3
Edwin Wright,1,6.0
Efren Ramirez,2,6.5
Egbert Jan Weeber,1,7.1
Ehtisham Khan Ajmeri,1,5.3
Eileen Atkins,1,6.3
Eileen O'Connell,1,6.3
Eileen O'Higgins,1,4.9
Eilish O'Carroll,1,5.8
Eion Bailey,1,5.3
Elaine Partnow,1,6.9
Elan Moss-Bachrach,1,6.1
Ele Bardha,1,4.8
Eleanor Bron,1,6.8
Elena Anaya,1,6.3
Eli Roth,1,6.7
